TITLE,AUTHOR,DESCRIPTION,IMAGE_URL
"SUPERMAN, CINDERELLA AND MINIONS GIVE CHILDREN COVID-19 SHOTS",noreply@blogger.com (Unknown),"<table><tr><td></td></tr><tr><td>A medical staff member wearing a costume looks at a child who receives a shot of the coronavirus disease (COVID-19) vaccine at a mass vaccination center in Prague, Czech Republic, January 8, 2022. REUTERS/David W Cerny
</td><…",https://blogger.googleusercontent.com/img/a/AVvXsEiFjlvWpXc1cx4-2poUJ0UgHQVjB-h-3fCXRFq_cThutpxh8rjxqxUkG4_kclaq8KuOQn16UZx8NrA2YKaxJXmg8DDT77tuXpbsC_-QOz-vYIyDH0urYV7Oaz4-fKU1sunVQIBWO1p7TPUzcggSrwjFNXxfmDpmU3Bci4V1kDyyaQBGluC8O92Q_K0eZQ=w1200-h630-p-k-no-nu
FDA authorizes Pfizer's Covid antiviral pill for people 12 and older,Devindra Hardawar,"The FDA has issued an emergency authorization Pfizer's antiviral pill Paxlovid, making it the first oral method for treating mild to moderate cases of COVID-19. The treatment is meant for high-risk people 12 and older who could progress to a more serious COVI…",https://s.yimg.com/os/creatr-uploaded-images/2021-12/e52aa760-6364-11ec-9f5d-7df1ad02bf38
"A Covid Testing Crisis, Again","Michael Barbaro, Michael Simon Johnson, Robert Jimison, Daniel Guillemette, Austin Mitchell, Paige Cowett, Sydney Harper, Alexandra Leigh Young, Dave Shaw, Dan Powell and Chris Wood",Why shortages still remain two years into the pandemic — and what President Biden can do about it.,https://static01.nyt.com/images/2021/12/22/podcasts/22daily-1/merlin_199524363_b4251e9b-b57d-4ffa-a17b-268eeabe6d38-facebookJumbo.jpg
Premier League Buckles In Amid Covid Surge,Rory Smith,"Familiar fears return as the pandemic’s shadow returns to soccer, to sports, to everything.",https://static01.nyt.com/images/2021/12/17/sports/17rory-top/merlin_199264137_4bc2756f-b83a-4071-a2d6-b2ef9bf60849-facebookJumbo.jpg
"Covid, Kentucky, Gymnasts: Your Monday Evening Briefing",Victoria Shannon,Here’s what you need to know at the end of the day.,https://static01.nyt.com/images/2021/12/13/multimedia/13evening-briefing-01-promo/13evening-briefing-01-facebookJumbo.jpg
Puerto Rico Faces Staggering Covid Case Explosion,Frances Robles,"The island had a 4,600 percent increase in cases in recent weeks after mounting one of the nation’s most successful vaccination campaigns.",https://static01.nyt.com/images/2021/12/31/us/31virus-puertorico-1/merlin_199787220_c00d0a86-5bcd-4e09-97fb-a0cab0958e71-facebookJumbo.jpg
Omicron and Kids: How to Navigate the Covid Winter,New York Times Opinion,Experts’ tips for navigating a Covid winter with children.,https://static01.nyt.com/images/2021/12/22/multimedia/22Nuzzo_2/22Nuzzo_2-facebookJumbo.jpg
Google employees who don't comply with COVID-19 vaccine rules will reportedly be fired,Mariella Moon,"Google is giving employees until December 3rd to declare their COVID-19 vaccine status. And according to CNBC, if they fail to comply with the tech giant's vaccine mandate, they'd have to apply for a medical or religious exemption and convince Google that it'…",https://s.yimg.com/os/creatr-uploaded-images/2021-08/6ad9e970-fb55-11eb-9f7f-499a41bec554
Researcher hacked an at-home COVID-19 test to give bogus results,Jon Fingas,"At-home COVID-19 tests might not be as trustworthy as you'd hope — not in the hands of a committed hacker, at least. As The Vergenotes, F-Secure researcher Ken Gannon discovered a since-patched security flaw in Ellume's Bluetooth-connected nasal swab test tha…",https://s.yimg.com/os/creatr-uploaded-images/2021-12/fc900650-626c-11ec-9f77-a1607aba3a45
The First 15 Things You Should Cook In Your New Air Fryer,Claire Lower,"This year felt, in many ways, like a repeat of the one that came before it. Covid is still around, our healthcare system still sucks, and eating inside restaurants still feels like a dangerous and mildly irresponsible activity. Another (happier) thing that di…","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/0d2faedd25d200a48fc9e2079784b624.jpg"
"What to Know About the CDC’s New, Shorter Isolation Guidelines",Meredith Dietz,"As Omicron cases continue to surge in the U.S., the the Centers for Disease Control and Prevention is shortening the recommended time for isolation from 10 days to five days for anyone who has tested positive for COVID-19—as long as they are asymptomatic. Aft…","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/8d18fad76aee6ecb799a333c069fcf14.jpg"
Here’s When to Get Your Older Kids Their Booster Shot,Beth Skwarecki,"Teenagers are now eligible for booster doses of their COVID-19 vaccine, the CDC has announced. Until now, boosters were only for adults aged 18 and up. Children with weakened immune systems can now also get a third primary dose, even if they are not old enoug…","https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/1bd81c511e4fb7b5a4b4f2ddd6252c06.jpg"
Biden plan will send out 500 million coronavirus tests to try to tackle the omicron surge,Kim Lyons,"President Biden will announce a plan to distribute 500 million free at-home rapid COVID-19 tests beginning next month, as the administration ramps up attempts to deal with the spread of the omicron variant.",https://cdn.vox-cdn.com/thumbor/-5bgwl2FNtwu6y-wKls_Fab6whc=/0x0:7421x3885/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/23117582/1237275803.jpg
